intent_type,nutritionist_prompt
recommend_adjustment,This meal contains 334.4 kcal and 37.98g of carbs. What adjustments would you recommend for someone aiming for weight control?
query_energy_appropriateness,This meal has 386.0 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
query_energy_appropriateness,This meal has 112.64 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""As a snack, I've got a 15-gram raw orange and 4 grams of regular chewing gum."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
query_energy_appropriateness,This meal has 1152.0 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
ask_for_cultural_alternatives,"The patient is from PAK and frequently eats this: ""I just prepared a lunch of 183.9g chapatti with ghee and a small serving of 3.3g green chili chutney."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""This morning, I had a small soft taco filled with beans, a small taco with meat, and drank a 20 fl oz fruit-flavored soft drink."" to healthier options. Can you suggest a gradual behavior modification strategy?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""I’m enjoying a cup of tap water and a 12 fl oz bottle of unsweetened bottled water as a snack."" to healthier options. Can you suggest a gradual behavior modification strategy?"
request_meal_analysis,"Can you analyze this meal: ""I had a regular-sized cupcake, a hot dog, a large marshmallow, and a 12 fl oz bottle of bottled water for dinner."" with 47.21g carbs, 31.85g fat, 9.76g protein, and 503.32 kcal, and suggest whether it aligns with general dietary guidelines?"
recommend_adjustment,This meal contains 602.0 kcal and 95.95g of carbs. What adjustments would you recommend for someone aiming for weight control?
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
request_meal_analysis,"Can you analyze this meal: ""For lunch, I had 280g of assorted black and purple beans, 105g of cooked beef without fats, and 135g of cooked chicken egg. I also drank 200g of mineral water and had 300g of polished rice."" with 130.16g carbs, 28.28g fat, 66.94g protein, and 997.0 kcal, and suggest whether it aligns with general dietary guidelines?"
request_meal_analysis,"Can you analyze this meal: ""For lunch, I had 163 grams of cooked white rice made with oil and 134 grams of braised beef steak."" with 44.32g carbs, 22.76g fat, 45.510000000000005g protein, and 582.47 kcal, and suggest whether it aligns with general dietary guidelines?"
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""Dinner consists of a small whole fish that’s been cooked."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""For dinner, I'm having a medium slice of garlic bread with melted cheese and a can of energy drink."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
request_macro_balance,"Review this meal: ""For lunch, I'm having a double cheeseburger from McDonald's, a large cola drink, and a large order of french fries."". Can you identify if the macronutrient distribution is balanced or skewed?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""I'm having a cherry turnover that weighs 78 grams as a snack."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
request_meal_analysis,"Can you analyze this meal: ""For a snack, I have a Little Debbie cinnamon bun with frosting and a miniature dill pickle."" with 32.68g carbs, 17.689999999999998g fat, 3.08g protein, and 301.92 kcal, and suggest whether it aligns with general dietary guidelines?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
query_protein_support,The protein in this meal is 1.62g. Is that adequate for a moderately active adult aiming to maintain lean mass?
query_protein_support,The protein in this meal is 4.6g. Is that adequate for a moderately active adult aiming to maintain lean mass?
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""For breakfast, I'm having a bagel topped with 246.0g of egg, cheese, and bacon, along with a 55.0g hash brown from fast food."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""For a snack, I'm having 250 grams of fruit-flavored artificial beverage and 120 grams of potato chips."" to healthier options. Can you suggest a gradual behavior modification strategy?"
query_energy_appropriateness,This meal has 41.95 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""I have a breakfast spread of a 135g egg and cheese omelet made with oil, 20g of pork sausage, 60g of frozen French toast, and 15g of light pancake syrup."" to healthier options. Can you suggest a gradual behavior modification strategy?"
recommend_adjustment,This meal contains 370.46 kcal and 34.67g of carbs. What adjustments would you recommend for someone aiming for weight control?
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""For lunch, I'm having 254.6g of cola, 3.4g of boiled drinking water, 0.2g of boiled garlic, 6.4g of boiled onions, 31.9g of cooked pig fresh meat, 5.3g of boiled plum tomato, 0.1g of boiled salt, and 48.0g of maize grain tortilla."" to healthier options. Can you suggest a gradual behavior modification strategy?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
request_macro_balance,"Review this meal: ""For dinner, I'm having 150 grams of whole grain pancakes with 60 grams of pancake syrup and a stick of butter weighing 14 grams."". Can you identify if the macronutrient distribution is balanced or skewed?"
flag_risk_for_condition,"Given this nutrient profile (43.78g carbs, 13.91g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
request_macro_balance,"Review this meal: ""I’m munching on 57 grams of cheese-flavored potato chips for a quick snack."". Can you identify if the macronutrient distribution is balanced or skewed?"
flag_risk_for_condition,"Given this nutrient profile (35.51g carbs, 18.74g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
query_protein_support,The protein in this meal is 6.6g. Is that adequate for a moderately active adult aiming to maintain lean mass?
query_protein_support,The protein in this meal is 39.7g. Is that adequate for a moderately active adult aiming to maintain lean mass?
recommend_adjustment,This meal contains 78.12 kcal and 14.03g of carbs. What adjustments would you recommend for someone aiming for weight control?
flag_risk_for_condition,"Given this nutrient profile (14.1g carbs, 12.61g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
request_meal_analysis,"Can you analyze this meal: ""I made a quick lunch with 28 grams of cracked wheat bread and 21 grams of American cheese."" with 15.17g carbs, 6.109999999999999g fat, 6.37g protein, and 141.19 kcal, and suggest whether it aligns with general dietary guidelines?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""This morning, I had 194g of boiled coffee beans with a bit of salt, 10g of corn bread, and 16g of boiled cow milk along with 33g of boiled goat milk."" to healthier options. Can you suggest a gradual behavior modification strategy?"
recommend_adjustment,This meal contains 256.0 kcal and 56.2g of carbs. What adjustments would you recommend for someone aiming for weight control?
recommend_adjustment,This meal contains 205.0 kcal and 36.98g of carbs. What adjustments would you recommend for someone aiming for weight control?
ask_for_cultural_alternatives,"The patient is from ITA and frequently eats this: ""For a snack, I'm having 120g of red table wine, 150g of peeled fresh apple, 60g of white bread, 11.8g of butter, 15.6g of raw carrots, 3.4g of raw celery, 11.6g of raw chard, 16.8g of hard Parmesan cheese, 1.2g of meat extract, 8.1g of raw onion, 26.2g of raw potato, 144.6g of raw spinach, 125g of raw veal, 9.0g of olive oil, and 320g of bottled Levissima water."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
request_macro_balance,"Review this meal: ""I'm enjoying a piece of thick crust pepperoni pizza along with a cup each of low-fat milk and chocolate milk for lunch."". Can you identify if the macronutrient distribution is balanced or skewed?"
flag_risk_for_condition,"Given this nutrient profile (31.9g carbs, 2.67g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
recommend_adjustment,This meal contains 514.01 kcal and 41.22g of carbs. What adjustments would you recommend for someone aiming for weight control?
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""For a snack, I'm having 75 grams of coffee cake with fruit and a 372-gram cola."" to healthier options. Can you suggest a gradual behavior modification strategy?"
recommend_adjustment,This meal contains 645.72 kcal and 87.4g of carbs. What adjustments would you recommend for someone aiming for weight control?
flag_risk_for_condition,"Given this nutrient profile (52.41g carbs, 11.97g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
query_protein_support,The protein in this meal is 5.17g. Is that adequate for a moderately active adult aiming to maintain lean mass?
ask_for_cultural_alternatives,"The patient is from IND and frequently eats this: ""For lunch, I had 47.4 grams of Bengal Gram Dhal Holige, 31.4 grams of chapati, and 30.5 grams of junka, along with 144.2 grams of buffalo milk."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
query_protein_support,The protein in this meal is 5.65g. Is that adequate for a moderately active adult aiming to maintain lean mass?
flag_risk_for_condition,"Given this nutrient profile (39.23g carbs, 4.59g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
flag_risk_for_condition,"Given this nutrient profile (30.26g carbs, 8.24g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""For a snack, I'm having a medium oatmeal cookie with chocolate chips and a package of hard candy."" to healthier options. Can you suggest a gradual behavior modification strategy?"
flag_risk_for_condition,"Given this nutrient profile (44.69g carbs, 13.6g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
ask_for_cultural_alternatives,"The patient is from ARG and frequently eats this: ""For dinner, I'm having 70g of raw carrots, 75g of prepared soybean slices, 200g of a soft drink with fruit juice, 22g of sunflower seed oil, 100g of fresh tomatoes, and 50g of whole eggs."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
query_protein_support,The protein in this meal is 10.64g. Is that adequate for a moderately active adult aiming to maintain lean mass?
query_energy_appropriateness,This meal has 656.04 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
query_energy_appropriateness,This meal has 262.5 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
request_meal_analysis,"Can you analyze this meal: ""I’ve got a 24.8g serving of Churmary Chuda, along with 12g of assorted cookies and 48g of milk tea for breakfast."" with 37.7g carbs, 8.2g fat, 5.0g protein, and 242.0 kcal, and suggest whether it aligns with general dietary guidelines?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
query_protein_support,The protein in this meal is 19.96g. Is that adequate for a moderately active adult aiming to maintain lean mass?
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""For dinner, I'm having a slice of cheddar cheese, a medium croissant, and a fried egg without any added fat."" to healthier options. Can you suggest a gradual behavior modification strategy?"
request_macro_balance,"Review this meal: ""I ate 121 grams of maize flour and paired it with 9 grams of boiled onion, 34 grams of boiled sweet potato leaves, 31 grams of boiled tomato, and 427 grams of fresh mango for lunch."". Can you identify if the macronutrient distribution is balanced or skewed?"
query_protein_support,The protein in this meal is 36.06g. Is that adequate for a moderately active adult aiming to maintain lean mass?
query_energy_appropriateness,This meal has 203.82 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
recommend_adjustment,This meal contains 53.46 kcal and 6.79g of carbs. What adjustments would you recommend for someone aiming for weight control?
request_macro_balance,"Review this meal: ""For lunch, I had a can of diet fruit-flavored soda, a small bag of plain potato chips, and a cheeseburger with a large patty on a white bun."". Can you identify if the macronutrient distribution is balanced or skewed?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""I grabbed a cup of tap water along with a chocolate-coated vanilla light ice cream bar for my snack."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
request_macro_balance,"Review this meal: ""For dinner, I'm having 240 grams of bottled water and 144 grams of pizza with meat and vegetables."". Can you identify if the macronutrient distribution is balanced or skewed?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""For lunch, I'm having 20.0g of breadcrumbs, 37.8g of fresh fried beef, and 240.0g of drinking water. I also have 8.7g of fried eggs, a pinch of salt (0.6g), 66.0g of white maize tortilla, and 5.4g of vegetable oil."" to healthier options. Can you suggest a gradual behavior modification strategy?"
request_macro_balance,"Review this meal: ""For dinner, I'm having a cup of Post Honey Bunches of Oats with Almonds and a cup of reduced fat milk."". Can you identify if the macronutrient distribution is balanced or skewed?"
query_protein_support,The protein in this meal is 1.72g. Is that adequate for a moderately active adult aiming to maintain lean mass?
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""I'm enjoying a snack that consists of 8 fl oz of brewed coffee sweetened with a packet of aspartame, along with a 12 fl oz can of diet cola and a half-ounce of half and half."" to healthier options. Can you suggest a gradual behavior modification strategy?"
flag_risk_for_condition,"Given this nutrient profile (82.03999999999999g carbs, 7.58g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""I’ve got a dinner of 75 grams of skin-on grilled chicken thigh and 230 grams of mac and cheese made from a boxed mix."" to healthier options. Can you suggest a gradual behavior modification strategy?"
request_meal_analysis,"Can you analyze this meal: ""For lunch today, I have 125g of bread, 212.6g of lamb haggis, and 411.5g of lamb soup. I also included 65g of roasted sheep and a glass of 175g of wine."" with 82.79999999999998g carbs, 61.10000000000001g fat, 114.7g protein, and 1487.0 kcal, and suggest whether it aligns with general dietary guidelines?"
recommend_adjustment,This meal contains 228.16 kcal and 48.83g of carbs. What adjustments would you recommend for someone aiming for weight control?
flag_risk_for_condition,"Given this nutrient profile (19.46g carbs, 1.92g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""For my snack, there's an 85g clementine paired with a 90g frosted cinnamon bun."" to healthier options. Can you suggest a gradual behavior modification strategy?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
flag_risk_for_condition,"Given this nutrient profile (49.42g carbs, 56.10000000000001g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
query_energy_appropriateness,This meal has 656.0 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
query_energy_appropriateness,This meal has 275.14 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
request_meal_analysis,"Can you analyze this meal: ""I had a 94-gram snack cake with icing along with a 102-gram iced cream puff for breakfast."" with 98.37g carbs, 29.74g fat, 7.76g protein, and 692.24 kcal, and suggest whether it aligns with general dietary guidelines?"
request_meal_analysis,"Can you analyze this meal: ""For my snack, I went with a cola soft drink of 372 grams, a banana that was 126 grams, and 5 grams of hard candy."" with 72.22g carbs, 1.36g fat, 1.37g protein, and 288.08 kcal, and suggest whether it aligns with general dietary guidelines?"
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""For a snack, I'm having a bottle of cola and a small bag of flavored potato sticks."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
query_energy_appropriateness,This meal has 23.25 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""For my snack, I enjoyed a cup of vegetable chips, a bite-size peanut butter cookie, and a miniature Reese's Peanut Butter Cup."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""For dinner, I had a large order of fast food french fries and a cheeseburger with a small patty."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""For breakfast, I'm having a McDonald's low-fat yogurt parfait with fruit, a packet of sugar, and a medium cup of brewed decaffeinated coffee with an ounce of half-and-half."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""As a snack, I'm enjoying a cup of a fruit and vegetable smoothie that's completely dairy-free."" to healthier options. Can you suggest a gradual behavior modification strategy?"
request_macro_balance,"Review this meal: ""For breakfast, I'm having a medium soft taco filled with beans and a bottle of unsweetened water."". Can you identify if the macronutrient distribution is balanced or skewed?"
recommend_adjustment,This meal contains 385.54 kcal and 92.48g of carbs. What adjustments would you recommend for someone aiming for weight control?
recommend_adjustment,This meal contains 248.85 kcal and 25.2g of carbs. What adjustments would you recommend for someone aiming for weight control?
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""For lunch, I'm enjoying a slice of American cheese and half a stuffed pepper stuffed with meat."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
request_macro_balance,"Review this meal: ""I’ve got 8.8g of a fruit-flavored drink with vitamin C, along with 84g of black beans, 51g of scrambled eggs, and a 150g tortilla for my snack."". Can you identify if the macronutrient distribution is balanced or skewed?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""For a snack, I'm having one raw banana, a 6 oz container of nonfat flavored yogurt, and a cup of bottled fruit and vegetable smoothie."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""I ate one low-fat bran muffin with fruit for breakfast."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
request_meal_analysis,"Can you analyze this meal: ""At lunch, I’m enjoying a 16g cream cracker biscuit, mixed with 20g of instant coffee powder. I also have a fresh 77.4g orange and 150g of tap water."" with 34.31g carbs, 2.47g fat, 4.33g protein, and 175.0 kcal, and suggest whether it aligns with general dietary guidelines?"
ask_for_cultural_alternatives,"The patient is from ROU and frequently eats this: ""This morning, I ate 118g of banana, 50g of bread, 140g of curds, and 100g of fried fish."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""For dinner, I'm having a medium soft taco with meat and sour cream, along with a cup of bottled water."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
query_protein_support,The protein in this meal is 28.56g. Is that adequate for a moderately active adult aiming to maintain lean mass?
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""For my snack, I have a slice of cheese pizza and a 12 fl oz root beer."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
request_meal_analysis,"Can you analyze this meal: ""For breakfast today, I enjoyed a large frosted cinnamon bun along with an apricot."" with 78.25g carbs, 40.85g fat, 7.3g protein, and 708.3599999999999 kcal, and suggest whether it aligns with general dietary guidelines?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""I just had a snack with 178g of fresh oranges and 25g of peanuts that were roasted without salt."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
flag_risk_for_condition,"Given this nutrient profile (7.41g carbs, 0.07g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""Dinner includes a 52-gram roll, some barbecue sauce-covered ham weighing 263 grams, and 240 grams of bottled unsweetened water."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""Dinner consists of 40 grams of maize flour, 3 grams of boiled onion, 11 grams of fresh pumpkin leaves, and 10 grams of tomato. I also included 13 grams of dried rat and 199 grams of boiled sweet potato."" to healthier options. Can you suggest a gradual behavior modification strategy?"
request_macro_balance,"Review this meal: ""For lunch today, I'm enjoying 75g of bread, 154.9g of chicken schnitzel, a 175g soft drink, and 309.3g of vegetable stew."". Can you identify if the macronutrient distribution is balanced or skewed?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""I'm snacking on 28 grams of kettle corn popcorn along with 507 grams of bottled unsweetened water."" to healthier options. Can you suggest a gradual behavior modification strategy?"
request_meal_analysis,"Can you analyze this meal: ""Tonight, I'm eating a small portion of beef shortribs that have been barbecued and have sauce on them, all lean with the bone and fat cut off."" with 2.8g carbs, 2.95g fat, 4.99g protein, and 59.18 kcal, and suggest whether it aligns with general dietary guidelines?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""I’m enjoying a medium whole grain pancake this morning for breakfast."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
request_macro_balance,"Review this meal: ""I'm snacking on a medium S'mores cookie and drinking a cup of tap water."". Can you identify if the macronutrient distribution is balanced or skewed?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""I'm munching on 20 grams of restructured potato chips that are reduced fat and lightly salted."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
request_meal_analysis,"Can you analyze this meal: ""I made a quick lunch with a 34g meal replacement bar and 360g of brewed coffee."" with 15.3g carbs, 4.83g fat, 10.63g protein, and 148.44 kcal, and suggest whether it aligns with general dietary guidelines?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
request_meal_analysis,"Can you analyze this meal: ""For lunch, I have a steak and cheese submarine sandwich with some lettuce and tomato, a pear, and a 10 fl oz bottle of apple juice."" with 118.31g carbs, 14.53g fat, 32.910000000000004g protein, and 721.0 kcal, and suggest whether it aligns with general dietary guidelines?"
query_protein_support,The protein in this meal is 6.98g. Is that adequate for a moderately active adult aiming to maintain lean mass?
query_energy_appropriateness,This meal has 73.0 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
request_meal_analysis,"Can you analyze this meal: ""For dinner, I'm having a medium hamburger from fast food (145.0g) with a side of french fries (145.0g) and a 512.0g soft drink."" with 143.12g carbs, 43.49g fat, 30.36g protein, and 1085.04 kcal, and suggest whether it aligns with general dietary guidelines?"
query_protein_support,The protein in this meal is 19.88g. Is that adequate for a moderately active adult aiming to maintain lean mass?
query_protein_support,The protein in this meal is 0.06g. Is that adequate for a moderately active adult aiming to maintain lean mass?
recommend_adjustment,This meal contains 374.08 kcal and 41.92g of carbs. What adjustments would you recommend for someone aiming for weight control?
request_macro_balance,"Review this meal: ""For a snack, I'm having a snack-size container of canned fruit cocktail, a raw orange, a miniature frosted cinnamon roll, and a small container of 100% apple juice."". Can you identify if the macronutrient distribution is balanced or skewed?"
query_energy_appropriateness,This meal has 91.08 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""For lunch today, I've got 121 grams of thick crust pizza topped with meats besides pepperoni and 112 grams of thick crust pepperoni pizza."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
recommend_adjustment,This meal contains 41.25 kcal and 5.26g of carbs. What adjustments would you recommend for someone aiming for weight control?
query_protein_support,The protein in this meal is 10.99g. Is that adequate for a moderately active adult aiming to maintain lean mass?
query_energy_appropriateness,This meal has 7.2 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
query_energy_appropriateness,This meal has 806.0 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""I just had 8 grams of fried horse mackerel and I paired it with 69 grams of wheat bread for my snack."" to healthier options. Can you suggest a gradual behavior modification strategy?"
query_energy_appropriateness,This meal has 401.32 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
query_energy_appropriateness,This meal has 653.32 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
request_macro_balance,"Review this meal: ""This morning, I have 50g of bread, 125g of ham, 222g of fresh tomato, and 100g of yogurt."". Can you identify if the macronutrient distribution is balanced or skewed?"
request_macro_balance,"Review this meal: ""I have a snack of 620 grams of cola paired with 28 grams of potato chips."". Can you identify if the macronutrient distribution is balanced or skewed?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""I’ve got a meat and cheese turnover weighing 142g and a 600g bottle of unsweetened water for brunch."" to healthier options. Can you suggest a gradual behavior modification strategy?"
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""This morning, I have a 70-gram scone with fruit and 240 grams of unsweetened bottled water."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""I'm having a mint hard candy as a snack."" to healthier options. Can you suggest a gradual behavior modification strategy?"
flag_risk_for_condition,"Given this nutrient profile (24.08g carbs, 0.41g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
flag_risk_for_condition,"Given this nutrient profile (39.65g carbs, 1.96g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
